Date,Open,High,Low,Close,Volume
06/17/2022,"244.70","250.50","244.03","247.65","43,084,781"
06/16/2022,"245.98","247.42","243.02","244.97","33,169,160"
06/15/2022,"248.31","255.30","246.42","251.76","33,111,730"
06/14/2022,"243.86","245.74","241.51","244.49","28,651,490"
06/13/2022,"245.11","249.02","241.53","242.26","46,135,793"
06/10/2022,"260.58","260.58","252.53","252.99","31,445,840"
06/09/2022,"267.78","272.71","264.63","264.79","26,439,730"
06/08/2022,"271.71","273.00","269.61","270.41","17,372,340"
06/07/2022,"266.64","273.13","265.94","272.50","22,860,680"
06/06/2022,"272.06","274.18","267.22","268.75","22,400,340"
06/03/2022,"270.31","273.45","268.41","270.02","28,058,961"
06/02/2022,"264.45","274.65","261.60","274.58","44,008,207"
06/01/2022,"275.20","277.69","270.04","272.42","25,292,170"
05/31/2022,"272.53","274.77","268.93","271.87","37,827,699"
05/27/2022,"268.48","273.34","267.56","273.24","26,910,811"
05/26/2022,"262.27","267.11","261.43","265.90","25,002,109"
05/25/2022,"258.14","264.58","257.13","262.52","28,547,949"
05/24/2022,"257.89","261.33","253.50","259.62","29,043,900"
05/23/2022,"255.49","261.50","253.43","260.65","33,175,379"
05/20/2022,"257.24","258.54","246.44","252.56","39,199,281"
05/19/2022,"253.90","257.67","251.88","253.14","32,692,289"
05/18/2022,"263.00","263.60","252.77","254.08","31,355,990"
